Time (ms),Channel 1 Temp (°C),Channel 2 Temp (°C),Channel 3 Temp (°C),Channel 4 Temp (°C)
0,48.213050842285156,49.99321365356445,46.9332160949707,24.52540397644043
500,48.12590408325195,49.956825256347656,46.896827697753906,24.532629013061523
1000,48.09689712524414,49.909690856933594,46.88595199584961,24.521591186523438
1500,48.071651458740234,49.86631774902344,46.875205993652344,24.53276252746582
2000,48.07890319824219,49.840938568115234,46.8607063293457,24.514366149902344
2500,48.06064224243164,49.82267761230469,46.849693298339844,24.51055335998535
3000,48.02814483642578,49.81555938720703,46.82444763183594,24.518047332763672
3500,48.04627227783203,49.83368682861328,46.802696228027344,24.53644371032715
4000,48.06802749633789,49.859066009521484,46.799068450927734,24.495969772338867
4500,48.071651458740234,49.89169692993164,46.8099479675293,24.473896026611328
5000,48.06439971923828,49.917076110839844,46.784568786621094,24.462858200073242
5500,48.035396575927734,49.90257263183594,46.79182052612305,24.444459915161133
6000,48.039024353027344,49.9243278503418,46.77731704711914,24.440780639648438
6500,48.057281494140625,49.94621276855469,46.78107833862305,24.440914154052734
7000,48.08628845214844,49.94621276855469,46.78107833862305,24.45563316345215
7500,48.097164154052734,49.93171310424805,46.788326263427734,24.48506736755371
8000,48.100791931152344,49.94983673095703,46.77382278442383,24.503463745117188
8500,48.118919372558594,49.98971939086914,46.76294708251953,24.521860122680664
